Category,Term,Count,%,P-Value,Benjamini,convergence
GOTERM_BP_DIRECT,multicellular organism development,5,3.2,0.087,1,conv_A
GOTERM_BP_DIRECT,double-strand break repair via break-induced replication,2,1.3,0.089,1,conv_A
GOTERM_BP_DIRECT,heart development,5,3.2,0.09,1,conv_A
GOTERM_BP_DIRECT,cell projection organization,3,1.9,0.09,1,conv_A
GOTERM_CC_DIRECT,cytosol,60,38.5,0.00081,0.17,conv_A
GOTERM_CC_DIRECT,nucleus,63,40.4,0.0014,0.17,conv_A
GOTERM_CC_DIRECT,nucleoplasm,45,28.8,0.0024,0.17,conv_A
GOTERM_CC_DIRECT,endosome,9,5.8,0.0026,0.17,conv_A
GOTERM_CC_DIRECT,chromatin,16,10.3,0.012,0.65,conv_A
GOTERM_CC_DIRECT,receptor complex,6,3.8,0.023,1,conv_A
GOTERM_CC_DIRECT,membrane,39,25,0.026,1,conv_A
GOTERM_CC_DIRECT,integral component of plasma membrane,18,11.5,0.034,1,conv_A
GOTERM_CC_DIRECT,actin cytoskeleton,6,3.8,0.043,1,conv_A
GOTERM_CC_DIRECT,Golgi membrane,10,6.4,0.061,1,conv_A
GOTERM_CC_DIRECT,bleb,2,1.3,0.065,1,conv_A
GOTERM_CC_DIRECT,MCM complex,2,1.3,0.065,1,conv_A
GOTERM_CC_DIRECT,MOZ/MORF histone acetyltransferase complex,2,1.3,0.065,1,conv_A
GOTERM_CC_DIRECT,apical cortex,2,1.3,0.078,1,conv_A
GOTERM_CC_DIRECT,CMG complex,2,1.3,0.078,1,conv_A
GOTERM_CC_DIRECT,late endosome membrane,4,2.6,0.085,1,conv_A
GOTERM_CC_DIRECT,plasma membrane,48,30.8,0.089,1,conv_A
GOTERM_MF_DIRECT,protein binding,118,75.6,0.0025,0.91,conv_A
GOTERM_MF_DIRECT,protein tyrosine kinase activity,5,3.2,0.013,1,conv_A
GOTERM_MF_DIRECT,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",10,6.4,0.015,1,conv_A
GOTERM_MF_DIRECT,ubiquitin protein ligase binding,7,4.5,0.037,1,conv_A
GOTERM_MF_DIRECT,DNA binding,18,11.5,0.038,1,conv_A
GOTERM_MF_DIRECT,ATP binding,20,12.8,0.038,1,conv_A
GOTERM_MF_DIRECT,metal ion binding,30,19.2,0.051,1,conv_A
GOTERM_MF_DIRECT,protein tyrosine phosphatase activity,4,2.6,0.054,1,conv_A
GOTERM_MF_DIRECT,vascular endothelial growth factor-activated receptor activity,2,1.3,0.062,1,conv_A
GOTERM_MF_DIRECT,protein homodimerization activity,11,7.1,0.063,1,conv_A
GOTERM_MF_DIRECT,transmembrane receptor protein tyrosine kinase activity,4,2.6,0.066,1,conv_A
GOTERM_MF_DIRECT,acid phosphatase activity,2,1.3,0.07,1,conv_A
GOTERM_MF_DIRECT,"ATPase activity, coupled to transmembrane movement of substances",3,1.9,0.076,1,conv_A
GOTERM_MF_DIRECT,histone methyltransferase activity (H3-K9 specific),2,1.3,0.077,1,conv_A
GOTERM_MF_DIRECT,protein kinase activity,7,4.5,0.084,1,conv_A
GOTERM_MF_DIRECT,histone acetyltransferase activity (H4-K8 specific),2,1.3,0.084,1,conv_A
GOTERM_MF_DIRECT,histone acetyltransferase activity (H4-K5 specific),2,1.3,0.084,1,conv_A
GOTERM_MF_DIRECT,histone acetyltransferase activity (H4-K12 specific),2,1.3,0.092,1,conv_A
GOTERM_MF_DIRECT,identical protein binding,20,12.8,0.093,1,conv_A
GOTERM_MF_DIRECT,MAP kinase tyrosine/serine/threonine phosphatase activity,2,1.3,0.099,1,conv_A
GOTERM_MF_DIRECT,glycine binding,2,1.3,0.099,1,conv_A
GOTERM_MF_DIRECT,insulin-like growth factor I binding,2,1.3,0.099,1,conv_A
GOTERM_MF_DIRECT,high-density lipoprotein particle binding,2,1.3,0.099,1,conv_A
KEGG_PATHWAY,Rap1 signaling pathway,6,3.8,0.037,1,conv_A
KEGG_PATHWAY,Metabolic pathways,21,13.5,0.04,1,conv_A
KEGG_PATHWAY,MAPK signaling pathway,7,4.5,0.044,1,conv_A
KEGG_PATHWAY,Endocytosis,6,3.8,0.069,1,conv_A
KEGG_PATHWAY,PI3K-Akt signaling pathway,7,4.5,0.09,1,conv_A
KEGG_PATHWAY,Focal adhesion,5,3.2,0.1,1,conv_A
GOTERM_BP_DIRECT,axonogenesis,5,4.2,0.0017,0.99,conv_B
GOTERM_BP_DIRECT,transcytosis,3,2.5,0.0024,0.99,conv_B
GOTERM_BP_DIRECT,inner ear morphogenesis,4,3.4,0.0039,1,conv_B
GOTERM_BP_DIRECT,positive regulation of transcription from RNA polymerase II promoter,15,12.7,0.008,1,conv_B
GOTERM_BP_DIRECT,hippocampus development,4,3.4,0.0081,1,conv_B
GOTERM_BP_DIRECT,anterior/posterior pattern specification,4,3.4,0.017,1,conv_B
GOTERM_BP_DIRECT,Wnt signaling pathway,5,4.2,0.025,1,conv_B
GOTERM_BP_DIRECT,male sex differentiation,2,1.7,0.028,1,conv_B
GOTERM_BP_DIRECT,negative regulation of metallopeptidase activity,2,1.7,0.028,1,conv_B
GOTERM_BP_DIRECT,cellular response to beta-amyloid,3,2.5,0.029,1,conv_B
GOTERM_BP_DIRECT,multicellular organism development,5,4.2,0.034,1,conv_B
GOTERM_BP_DIRECT,gland morphogenesis,2,1.7,0.039,1,conv_B
GOTERM_BP_DIRECT,cell fate commitment,3,2.5,0.041,1,conv_B
GOTERM_BP_DIRECT,drinking behavior,2,1.7,0.05,1,conv_B
GOTERM_BP_DIRECT,central nervous system development,4,3.4,0.053,1,conv_B
GOTERM_BP_DIRECT,response to L-glutamate,2,1.7,0.055,1,conv_B
GOTERM_BP_DIRECT,positive regulation of adenylate cyclase activity,2,1.7,0.055,1,conv_B
GOTERM_BP_DIRECT,regulation of gene expression,5,4.2,0.056,1,conv_B
GOTERM_BP_DIRECT,limb bud formation,2,1.7,0.06,1,conv_B
GOTERM_BP_DIRECT,positive regulation of MAPK cascade,4,3.4,0.062,1,conv_B
GOTERM_BP_DIRECT,mesodermal cell differentiation,2,1.7,0.066,1,conv_B
GOTERM_BP_DIRECT,extracellular matrix organization,4,3.4,0.067,1,conv_B
GOTERM_BP_DIRECT,brain development,5,4.2,0.069,1,conv_B
GOTERM_BP_DIRECT,beta-amyloid clearance,2,1.7,0.071,1,conv_B
GOTERM_BP_DIRECT,negative regulation of vascular endothelial growth factor receptor signaling pathway,2,1.7,0.081,1,conv_B
GOTERM_BP_DIRECT,cellular response to glucose stimulus,3,2.5,0.085,1,conv_B
GOTERM_BP_DIRECT,dentate gyrus development,2,1.7,0.092,1,conv_B
GOTERM_BP_DIRECT,regulation of epithelial cell proliferation,2,1.7,0.097,1,conv_B
GOTERM_CC_DIRECT,extracellular matrix,6,5.1,0.014,1,conv_B
GOTERM_CC_DIRECT,plasma membrane raft,3,2.5,0.015,1,conv_B
GOTERM_CC_DIRECT,trans-Golgi network,5,4.2,0.021,1,conv_B
GOTERM_CC_DIRECT,anchored component of membrane,4,3.4,0.023,1,conv_B
GOTERM_CC_DIRECT,receptor complex,5,4.2,0.032,1,conv_B
GOTERM_CC_DIRECT,neuronal cell body,6,5.1,0.074,1,conv_B
GOTERM_CC_DIRECT,nucleus,41,34.7,0.08,1,conv_B
GOTERM_CC_DIRECT,integral component of plasma membrane,13,11,0.087,1,conv_B
GOTERM_CC_DIRECT,Golgi cisterna membrane,3,2.5,0.095,1,conv_B
GOTERM_MF_DIRECT,protein phosphatase 2A binding,3,2.5,0.017,1,conv_B
GOTERM_MF_DIRECT,RNA polymerase II core promoter proximal region sequence-specific DNA binding,13,11,0.045,1,conv_B
GOTERM_MF_DIRECT,metal ion binding,23,19.5,0.052,1,conv_B
GOTERM_MF_DIRECT,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",7,5.9,0.058,1,conv_B
GOTERM_MF_DIRECT,phosphatidylinositol 3-kinase regulatory subunit binding,2,1.7,0.062,1,conv_B
GOTERM_MF_DIRECT,insulin-like growth factor I binding,2,1.7,0.072,1,conv_B
GOTERM_MF_DIRECT,heparin binding,4,3.4,0.082,1,conv_B
KEGG_PATHWAY,Progesterone-mediated oocyte maturation,5,4.2,0.0033,0.62,conv_B
KEGG_PATHWAY,Estrogen signaling pathway,4,3.4,0.051,1,conv_B
KEGG_PATHWAY,Longevity regulating pathway - multiple species,3,2.5,0.055,1,conv_B
KEGG_PATHWAY,Signaling pathways regulating pluripotency of stem cells,4,3.4,0.056,1,conv_B
KEGG_PATHWAY,Cell adhesion molecules,4,3.4,0.07,1,conv_B
KEGG_PATHWAY,EGFR tyrosine kinase inhibitor resistance,3,2.5,0.083,1,conv_B
GOTERM_BP_DIRECT,response to drug,3,16.7,0.027,1,conv_C
GOTERM_BP_DIRECT,ovarian follicle development,2,11.1,0.038,1,conv_C
GOTERM_BP_DIRECT,positive regulation of gene expression,3,16.7,0.077,1,conv_C
GOTERM_BP_DIRECT,positive regulation of transcription from RNA polymerase II promoter,4,22.2,0.086,1,conv_C
GOTERM_MF_DIRECT,hormone activity,3,16.7,0.0037,0.23,conv_C
GOTERM_MF_DIRECT,identical protein binding,6,33.3,0.012,0.35,conv_C
GOTERM_MF_DIRECT,structural constituent of cytoskeleton,2,11.1,0.087,1,conv_C
KEGG_PATHWAY,TGF-beta signaling pathway,2,11.1,0.089,1,conv_C
GOTERM_BP_DIRECT,neurotransmitter secretion,2,9.5,0.025,1,conv_D
GOTERM_BP_DIRECT,positive regulation of protein tyrosine kinase activity,2,9.5,0.04,1,conv_D
GOTERM_BP_DIRECT,exocytosis,2,9.5,0.096,1,conv_D
GOTERM_CC_DIRECT,integral component of membrane,9,42.9,0.098,1,conv_D
KEGG_PATHWAY,Lysosome,2,9.5,0.093,1,conv_D
GOTERM_BP_DIRECT,cellular response to retinoic acid,2,40,0.015,1,conv_E
GOTERM_BP_DIRECT,"negative regulation of transcription, DNA-templated",5,22.7,0.0028,0.42,opt
GOTERM_BP_DIRECT,positive regulation of transcription from RNA polymerase II promoter,5,22.7,0.033,1,opt
GOTERM_BP_DIRECT,"regulation of transcription, DNA-templated",4,18.2,0.078,1,opt
GOTERM_BP_DIRECT,regulation of transcription from RNA polymerase II promoter,5,22.7,0.097,1,opt
GOTERM_CC_DIRECT,nucleus,14,63.6,0.00096,0.055,opt
GOTERM_CC_DIRECT,nucleoplasm,10,45.5,0.0077,0.22,opt
GOTERM_CC_DIRECT,nuclear speck,3,13.6,0.065,1,opt
GOTERM_MF_DIRECT,RNA polymerase II core promoter proximal region sequence-specific DNA binding,6,27.3,0.0073,0.58,opt
GOTERM_MF_DIRECT,metal ion binding,8,36.4,0.016,0.65,opt
GOTERM_MF_DIRECT,protein binding,18,81.8,0.061,1,opt
GOTERM_MF_DIRECT,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",3,13.6,0.09,1,opt
KEGG_PATHWAY,Lysine degradation,2,9.1,0.06,1,opt
