"","master_list","e0"
"122","cg25133016",0
"123","cg03191116",0
"124","cg22876356",0
"125","cg02907415",0
"126","cg24700929",1
"127","cg13206013",0
"128","cg19979750",0
"129","cg12702615",0
"130","cg04141261",0
"131","cg06580523",0
"132","cg12387106",1
"133","cg06854842",0
"134","cg13441058",0
"135","cg20853361",0
"136","cg14692453",0
"137","cg20873136",0
"138","cg27489873",0
"139","cg05454076",0
"140","cg09560533",0
"141","cg27449975",0
"142","cg26686647",0
"143","cg17410394",0
"144","cg27582625",0
"145","cg26481739",0
"146","cg07824907",0
"147","cg10242602",0
"148","cg22967016",0
"149","cg03008269",0
"150","cg08525845",0
"151","cg13023210",0
"152","cg12956209",0
"153","cg13931277",1
"154","cg12255774",0
"155","cg18268988",0
"156","cg13751113",0
"157","cg17029168",0
"158","cg22060087",0
"159","cg04588514",0
"160","cg09936190",0
"161","cg00779130",0
"162","cg06431953",0
"163","cg24539517",0
"164","cg11368900",0
"165","cg19310162",0
"166","cg14400120",0
"167","cg20695611",0
"168","cg10692118",0
"169","cg10592171",0
"170","cg22318878",0
"171","cg12793803",0
"172","cg23738681",0
"173","cg25814293",0
"174","cg03851515",0
"175","cg01770232",0
"176","cg22650458",0
"177","cg22327527",0
"178","cg21669326",1
"179","cg24873202",0
"180","cg23436746",0
"181","cg02848122",0
"182","cg21794767",0
"183","cg10687420",0
"184","cg09343544",0
"185","cg06230247",0
"186","cg26034629",0
"187","cg01361446",0
"188","cg11340371",0
"189","cg19039586",0
"190","cg15978017",0
"191","cg01617920",0
"192","cg14221264",0
"193","cg25536171",0
"194","cg00023464",1
"195","cg00483562",0
"196","cg01043865",0
"197","cg03804272",0
"198","cg25769469",0
"199","cg10911283",0
"200","cg00334820",0
"201","cg16253142",0
"202","cg13511387",0
"203","cg13175786",1
"204","cg07314391",0
"205","cg04009254",0
"206","cg11413751",0
"207","cg23244913",1
"208","cg16215362",0
"209","cg15700022",0
"210","cg19620972",0
"211","cg04191300",0
"212","cg19513282",0
"213","cg07895186",0
"214","cg14173476",0
"215","cg22737917",0
"216","cg11459648",0
"217","cg07532353",0
"218","cg09604352",0
"219","cg21787835",0
"220","cg12656815",0
"221","cg19993573",0
"222","cg02958133",0
"223","cg04384181",0
"224","cg14427563",0
"225","cg14812313",1
"226","cg04524321",0
"227","cg03435277",0
"228","cg10324701",0
"229","cg20844545",0
"230","cg10168434",0
"231","cg14906304",0
"232","cg20919680",0
"233","cg01718788",0
"234","cg26210187",0
"235","cg19102713",0
"236","cg24239148",0
"237","cg26979504",0
"238","cg24913868",0
"239","cg01130364",0
"240","cg17794169",0
"241","cg06852605",0
"242","cg16558358",0
"243","cg23946286",1
"244","cg06096916",0
"245","cg09624684",0
"246","cg05091796",0
"247","cg05335886",0
"248","cg00771346",0
"249","cg00709652",0
"250","cg20908614",0
"251","cg15595571",1
"252","cg12598089",0
"253","cg18052528",1
"254","cg08528735",0
"255","cg02331673",0
"256","cg13798621",0
"257","cg19809052",0
"258","cg18229396",0
"259","cg14119350",0
"260","cg16394290",1
"261","cg27173717",0
"262","cg25099516",1
"263","cg14841337",0
"264","cg05959980",0
"265","cg14837598",0
"266","cg25052664",0
"267","cg23067535",0
"268","cg12446629",0
"269","cg00764470",0
"270","cg04724807",0
"271","cg07177395",0
"272","cg24195486",0
"273","cg26087735",1
"274","cg25682097",0
"275","cg22445447",0
"276","cg08048831",0
"277","ch.9.98463211R",0
"278","cg08298644",0
"279","cg25387540",0
"280","cg02752037",0
"281","cg26306256",0
"282","cg24883498",0
"283","cg15771941",0
"284","cg06679563",0
"285","cg04312358",0
"286","cg13157315",0
"287","cg05792273",0
"288","cg09035079",1
"289","cg09101767",0
"290","cg09182900",0
"291","cg16105676",0
"292","cg10730291",0
"293","cg02756106",1
"294","cg13565575",0
"295","cg15471197",0
"296","cg22328644",0
"297","cg26416887",0
"298","cg23822732",0
"299","cg13667638",0
"300","cg19360930",0
"301","cg02642979",0
"302","cg13289869",0
"303","cg27432242",0
"304","cg17108819",0
"305","cg08303370",0
"306","cg24651706",0
"307","cg02108015",0
"308","cg10278149",0
"309","cg00549040",0
"310","cg05657564",0
"311","cg24125861",0
"312","cg09232068",0
"313","cg08773180",0
"314","cg23652866",0
"315","cg03883228",0
"316","cg01940657",0
"317","cg10759648",0
"318","cg07598324",0
"319","cg07141452",0
"320","cg06962867",0
"321","cg10553415",0
"322","cg08330217",1
"323","cg17857870",0
"324","cg06730723",0
"325","cg06156502",0
"326","cg20283498",0
"327","cg23650686",0
"328","cg15648792",0
"329","cg20561320",0
"330","cg25730020",0
"331","cg13261306",0
"332","cg15255086",0
"333","cg07482916",0
"334","cg10940874",0
"335","cg18207999",0
"336","cg19878076",0
"337","cg24880892",0
"338","cg09129976",0
"339","cg14825094",0
"340","cg09889477",0
"341","cg01698392",0
"342","cg16680873",0
"343","cg03085785",0
"344","cg00418469",0
"345","cg11034318",0
"346","cg20844861",0
"347","cg10448608",0
"348","cg20377030",0
"349","cg16956007",0
"350","cg21783213",0
"351","cg16793150",0
"352","cg22446618",0
"353","cg26280911",0
"354","cg26481727",0
"355","cg09414045",0
"356","cg20585869",1
"357","cg27474516",0
"358","cg02299497",0
"359","cg26000619",1
"360","cg20686446",0
"361","cg18075691",0
"362","cg20887442",0
"363","cg08568720",1
"364","cg04999999",0
"365","cg09777525",0
"366","cg16881064",0
"367","cg15165694",0
"368","cg22851252",0
"369","cg00575003",0
"370","cg06261630",0
"371","cg01514015",0
"372","cg23626762",1
"373","cg05120309",0
"374","cg13813623",0
"375","cg09550127",0
"376","cg21972063",1
"377","cg16850518",0
"378","cg09555153",0
"379","cg23170495",0
"380","cg24655262",0
"381","cg23419606",0
"382","cg00376022",0
"383","cg18245160",0
"384","cg06461708",0
"385","cg18315960",0
"386","cg08991927",0
"387","cg27655512",0
"388","cg24726783",0
"389","cg01782798",0
"390","cg04131583",1
"391","cg27632493",0
"392","cg20132581",0
"393","cg10343787",0
"394","cg10595181",0
"395","cg04291383",0
"396","cg20317437",0
"397","cg16557698",0
"398","cg11337388",0
"399","cg03082060",0
"400","cg18026820",0
"401","cg18986078",0
"402","cg21207665",1
"403","cg16002441",0
"404","cg23655651",0
"405","cg08323277",0
"406","cg11731892",0
"407","cg17511472",0
"408","cg10334354",0
"409","cg14029856",0
"410","cg09528501",0
"411","cg23372723",0
"412","cg12839556",0
"413","cg17844831",0
"414","cg11382589",0
"415","cg03673737",0
"416","cg08321111",0
"417","cg12992385",0
"418","cg21885046",0
"419","cg09444327",0
"420","cg06527318",0
"421","cg23331981",0
"422","cg00953355",1
"423","cg02540440",1
"424","cg21016188",0
"425","cg17862275",0
"426","cg21879102",0
"427","cg09676669",0
