"","master_list","e0"
"363","cg16395892",0
"364","cg12062900",0
"365","cg21761853",0
"366","cg05839492",0
"367","cg01842720",1
"368","cg25941075",0
"369","cg03044376",0
"370","cg18840567",0
"371","cg24120153",0
"372","cg06996389",0
"373","cg08734988",0
"374","cg24956866",0
"375","cg03373887",0
"376","cg24616736",0
"377","cg06434428",0
"378","cg04646173",0
"379","cg00167684",0
"380","cg20713639",1
"381","cg17433211",0
"382","cg07708286",1
"383","cg23847109",0
"384","cg26681210",0
"385","cg13679814",0
"386","cg17772793",0
"387","cg20647610",1
"388","cg15866977",0
"389","cg04789818",0
"390","cg00623161",0
"391","cg20439624",0
"392","cg04052934",0
"393","cg02546477",0
"394","cg20074593",0
"395","cg27128011",0
"396","cg25087423",0
"397","cg13861749",0
"398","cg24631052",1
"399","cg00738345",1
"400","cg04021363",1
"401","cg03776042",0
"402","cg14854487",0
"403","cg16682206",0
"404","cg10589310",0
